,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Congressional Hearings: Gasoline, Price Gouging, War, The Economy,  ( And The Midterm Election ) ', 'url': 'https://www.forbes.com/sites/edhirs/2022/04/06/congressional-hearings-gasoline-price-gouging-war-the-economy-and-the-midterm-election/', 'time_published': '20220407T031515', 'authors': ['Ed Hirs'], 'summary': ""Not one of the Congressmen complained that there are gasoline lines. There are none.  There are no shortages even if they did conjure the Nixon-era gasoline lines and rationing-all of which were caused by President Nixon's wage and price controls. No. The Congressmen are just unhappy with the price."", 'banner_image': 'https://imageio.forbes.com/specials-images/imageserve/624e55a479ff0816910215a0/0x0.jpg?format=jpg&width=1200', 'source': 'Forbes', 'category_within_source': 'Business', 'source_domain': 'www.forbes.com', 'topics': [{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.8207, 'overall_sentiment_label': 'Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.046148', 'ticker_sentiment_score': '-0.955486', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'SBUX', 'relevance_score': '0.046148', 'ticker_sentiment_score': '-0.955486', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.046148', 'ticker_sentiment_score': '-0.955486', 'ticker_sentiment_label': 'Bearish'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Etihad Airways Goes Live with Spitch.ai's Virtual Assistant to Assist Passengers with Covid-Related Travel Information"", 'url': 'https://www.benzinga.com/pressreleases/22/04/n26515349/etihad-airways-goes-live-with-spitch-ais-virtual-assistant-to-assist-passengers-with-covid-related', 'time_published': '20220407T050000', 'authors': ['PRNewswire'], 'summary': 'ZURICH, April 7, 2022 /PRNewswire/ -- Spitch.ai, the global leader in conversational AI solutions, today announced that the company is working with Etihad Airways, the national airline of the United Arab Emirates, to implement a Virtual Assistant  ( VA )  to boost efficiency in Etihad contact centre', 'banner_image': 'https://www.benzinga.com/next-assets/images/schema-image-default.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.302028, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.086416', 'ticker_sentiment_score': '0.535012', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'YNDX', 'relevance_score': '0.043271', 'ticker_sentiment_score': '0.027682', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AVYA', 'relevance_score': '0.043271', 'ticker_sentiment_score': '0.027682', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Asian shares track Wall St retreat on interest rate worries', 'url': 'https://apnews.com/article/russia-ukraine-business-financial-markets-prices-inflation-bc1e0db45e5b1682be8862376e990802', 'time_published': '20220407T060059', 'authors': [], 'summary': 'Asian shares track Wall St retreat on interest rate worries The Associated Press', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/54c0cbb9bfdc4dd49cb653afaffb6fd1/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.972193'}, {'topic': 'Financial Markets', 'relevance_score': '0.918141'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.205556, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.049742', 'ticker_sentiment_score': '0.162629', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AFG', 'relevance_score': '0.049742', 'ticker_sentiment_score': '-0.673333', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'FB', 'relevance_score': '0.049742', 'ticker_sentiment_score': '-0.311146', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CBSU', 'relevance_score': '0.148456', 'ticker_sentiment_score': '-0.034745', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.049742', 'ticker_sentiment_score': '4.8e-05', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.049742', 'ticker_sentiment_score': '4.8e-05', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.049742', 'ticker_sentiment_score': '4.8e-05', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Stock futures tread carefully following Fed comments', 'url': 'https://www.foxbusiness.com/markets/stock-futures-4-7-2022', 'time_published': '20220407T070152', 'authors': [], 'summary': ""U.S. equity futures traded cautiously on Thursday morning after details from last month's Federal Reserve meeting showed that the central bank plans to be aggressive in fighting inflation."", 'banner_image': 'https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/80577728-819e-423c-8247-ebe0b4f7f5f0/6a8d0155-a419-4440-b672-1b8b152b5b38/1280x720/match/image.jpg', 'source': 'Fox Business News', 'category_within_source': 'n/a', 'source_domain': 'www.foxbusiness.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.769861'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}], 'overall_sentiment_score': -0.004357, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.11977', 'ticker_sentiment_score': '0.162629', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CBSU', 'relevance_score': '0.236857', 'ticker_sentiment_score': '0.009098', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Anywhere365® Launches New Global Partnership Program to Accelerate Growth', 'url': 'https://www.prnewswire.com/news-releases/anywhere365-launches-new-global-partnership-program-to-accelerate-growth-301519768.html', 'time_published': '20220407T080000', 'authors': ['Anywhere365'], 'summary': 'ROTTERDAM, Netherlands, April 7, 2022 /PRNewswire/ -- , the cloud dialogue management and contact center platform for the Microsoft 365 ecosystem, announces the launch of their new The program aims to reward and empower partners, providing them with everything they need to successfully sell, implement and support Anywhere365 in companies around the world. To this end Anywhere365 has developed an all-encompassing partnership framework to ensure the best possible working relationship throughout the entire journey.', 'banner_image': '', 'source': 'PR Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.prnewswire.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.356541, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.325494', 'ticker_sentiment_score': '0.356541', 'ticker_sentiment_label': 'Bullish'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Anywhere365® Launches New Global Partnership Program to Accelerate Growth', 'url': 'https://www.prnewswire.com/nl/persberichten/anywhere365-r-launches-new-global-partnership-program-to-accelerate-growth-838724886.html', 'time_published': '20220407T080000', 'authors': ['Anywhere365'], 'summary': 'Erik van Arkel, Global Head of Partnerships at Anywhere365: ""Our partners are central to our business and success; we have worked closely with them on the development of the program to ensure their interests are aligned with our framework. Everything, from the product itself, through to onboarding and the program, is set up to fully support and empower partners. I\'m very confident that the program will benefit our partners and strengthen our working relationships.""', 'banner_image': '', 'source': 'PR Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.prnewswire.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.628113, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.381463', 'ticker_sentiment_score': '0.628113', 'ticker_sentiment_label': 'Bullish'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Why This ETF Is My No. 1 Recommendation for New Investors', 'url': 'https://www.fool.com/investing/2022/04/07/why-this-etf-is-my-no-1-recommendation-for-new-inv/', 'time_published': '20220407T090000', 'authors': ['Katie Brockman'], 'summary': ""It's easier than you may think to get started in the stock market."", 'banner_image': 'https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F673285%2Fperson-sitting-at-a-desk-looking-at-a-laptop-and-smiling.jpg&w=700&op=resize', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.340844, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.077144', 'ticker_sentiment_score': '0.020653', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.077144', 'ticker_sentiment_score': '0.020653', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Quest Software Launches Foglight Enhancements To Bolster Data Operations, Performance And Efficiency Within IT Infrastructure', 'url': 'https://www.benzinga.com/pressreleases/22/04/g26516771/quest-software-launches-foglight-enhancements-to-bolster-data-operations-performance-and-efficienc', 'time_published': '20220407T100000', 'authors': ['Globe Newswire'], 'summary': 'Foglight users proactively improve application and database performance, increase visibility via centrally-controlled performance tuning, analytics, diagnostics and alerting\n6.1 updates decrease business expenses of hybrid environment operations by reducing need for additional hardware, expensive an', 'banner_image': 'https://www.benzinga.com/next-assets/images/schema-image-default.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.052518, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.065884', 'ticker_sentiment_score': '0.100823', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Should Okta Shareholders Sell After the Recent Cyberattack?', 'url': 'https://www.fool.com/investing/2022/04/07/should-okta-shareholders-sell-after-cyberattack/', 'time_published': '20220407T105500', 'authors': ['Trevor Jennewine'], 'summary': 'Hacker group Lapsus$ managed to compromise the Okta Identity Cloud earlier this year.', 'banner_image': 'https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F673598%2Fcybersecurity-7.jpg&w=700&op=resize', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.170685, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'FORR', 'relevance_score': '0.047988', 'ticker_sentiment_score': '0.470079', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.19023', 'ticker_sentiment_score': '-0.012289', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.047988', 'ticker_sentiment_score': '-0.488956', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'IT', 'relevance_score': '0.143273', 'ticker_sentiment_score': '0.345348', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PING', 'relevance_score': '0.047988', 'ticker_sentiment_score': '0.696478', 'ticker_sentiment_label': 'Bullish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Better Metaverse Chip Stock: Nvidia vs. Qualcomm', 'url': 'https://www.fool.com/investing/2022/04/07/better-metaverse-chip-stock-nvidia-vs-qualcomm/', 'time_published': '20220407T110500', 'authors': ['Will Healy'], 'summary': 'A closer look at two chip companies that are transforming the metaverse.', 'banner_image': 'https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F672982%2Fgettyimages-1353538458.jpg&w=700&op=resize', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.99737'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.098189, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.109132', 'ticker_sentiment_score': '0.241655', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.589625', 'ticker_sentiment_score': '0.109984', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.109132', 'ticker_sentiment_score': '0.05111', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.549529', 'ticker_sentiment_score': '0.100971', 'ticker_sentiment_label': 'Neutral'}]}"
